date,hippo,course,cheval,jockey,cote,probabilite_top3,prediction,realite
2021-05-30,Waregem,12,Ainhoa Nordjanie,G. Sanchez,0.0,0.9991846499114146,1,0
2021-10-17,Niort,14,Spirit of Dance,Mlle M. Romary,0.0,0.9587396345396538,1,0
2023-11-18,Laval,16,Hay Pepito,JM. Jarry,113.0,0.08635130266309016,0,0
2022-02-10,Wolvega,11,Born To Run,T. Kooyman,67.0,0.13401022715885363,0,0
2018-03-04,Baléares - Manacor,7,Deco Sas,J. Riera Sitges,0.0,0.9999955500064727,1,1
2018-08-10,Umaker,12,Let's Dance L.A.,Mme G. Fredriksson,0.0,0.9999788753157148,1,0
2016-09-10,Leopardstown,12,Highland Reel,C. O'Donoghue,13.0,0.4298698434227715,0,0
2021-09-30,Chelmsford,7,Eternal Love,R. Hornby,0.0,0.9998970750583791,1,0
2018-03-09,Ayr,7,Gibbstown,A. Short,0.0,0.9999709185634947,1,0
2017-06-10,Visby,8,Noomi,A. Funck,0.0,0.9999863070983281,1,1
2019-10-28,Marseille-Borély,11,Makalia,G. Millet,10.0,0.09268423195228483,0,0
2019-11-07,Lyon-La Soie,15,Charly,L. Boisseau,3.8,0.12457487920398211,0,1
2019-08-26,Cazaubon Barbotan-les-Thermes,9,La Bloutière,G. Trolley de Prevaux,1.5,0.9565097698562118,1,1
2022-10-21,Bollnas,12,Guli Tiger,Mme E. Eriksson,0.0,0.9988243170055016,1,0
2023-11-01,Lyon-La Soie,12,Jalencia Bella,G. Fournigault,0.0,0.9827447849326874,1,0
2015-03-22,Auteuil,9,Alary,R. Schmidlin,29.0,0.1050681077436768,0,0
2022-07-14,Clairefontaine,16,Hariko,M. Bézier,29.0,0.08476376010307542,0,0
2020-07-10,Casablanca,13,Elysees Dansante,W. Madihi,0.0,0.9999707983024044,1,0
2019-06-30,Abbeville,14,Flash de Mormal,C. Nicole,0.0,0.9953177353283081,1,0
2023-07-12,Fairyhouse,11,Ravelli,J. Kearney,0.0,0.9997433606904766,1,0
2021-05-08,Gulfstream Park,9,Dreaming Thousand,E. Jaramillo,0.0,0.9860293102362199,1,0
2018-12-27,Taranto,12,Torpe,E. Melis,0.0,0.9999990005957755,1,1
2017-07-15,Cagnes-sur-Mer,15,Dorun Beam,T. Viet,11.0,0.11152074568214934,0,0
2020-02-06,Aby,11,Mithril,A. Eklundh,0.0,0.9999575973647036,1,0
2022-05-01,Newmarket,13,Ameynah,D. Egan,27.0,0.4962403421865557,0,0
2018-08-04,Gavea,9,Or Noir,W. Cardoso,0.0,0.9978988907863404,1,0
2022-09-11,Tingsryd,11,Makro Band,A. Knutsson,0.0,0.9986335440779368,1,1
2021-03-21,Reims,13,Irrésistible Honey,M. Lenoir,48.0,0.1044131332692562,0,0
2023-08-11,Anfa,14,HELSPEED FAL,TE. EL GARCH,0.0,0.9999913372668331,1,0
2022-12-30,Deauville,13,Amandero,A. Pouchin,6.3,0.0331245602361574,0,0
2016-06-17,Deauville,12,Takaran,M. Guyon,4.5,0.0927430859373625,0,0
2021-04-11,Saint-Aubin-les-Elbeuf,16,Domino du Jour,R. Gougeon,0.0,0.9953173000848305,1,0
2022-09-03,Jägersro,10,Restless Heart,Mme H. Larsen,0.0,0.9997972737119829,1,0
2018-04-28,Milan,11,Larmor,Mme V. Tavazzani,0.0,0.9999730424417224,1,1
2023-03-19,Khemisset,15,MOUMCHA,AE. ESSATI,0.0,0.9998604857955884,1,0
2021-12-09,Warwick,8,Allavina,A. Coleman,0.0,0.9999666490388625,1,0
